,"Oj.dump(X, :object)",Oj::Rails.encode(X),JSON.dump(X),X.to_json,AS::JSON.encode(X),X.as_json
' --require-json,0.91,1.2,5.66,5.66,,
' --require-json --oj-mimic-json,0.91,1.15,1.16,5.66,,
' --require-json-after-mimic --oj-mimic-json,0.95,1.21,1.18,1.19,,
' --use-rails,0.99,25.64,5.65,62.81,62.94,8.19
' --use-rails --oj-mimic-json,1,24.71,1.22,27.49,27.46,7.61
' --use-rails --oj-optimize-rails,0.97,25.39,5.65,25.43,25.55,8.04
' --use-rails --oj-optimize-rails --oj-mimic-json,0.97,25.9,1.16,25.93,25.71,8.07
' --use-rails --oj-manual-set-encoder,0.99,25.27,5.67,8.91,8.87,7.96
' --use-rails --oj-manual-set-encoder --oj-optimize-rails,0.91,25.59,5.65,8.98,8.99,7.76
' --use-rails --oj-manual-set-encoder --oj-optimize-rails --oj-mimic-json,0.97,26.1,1.19,9.38,9.54,7.91
,,,,,,
' --require-json,1,1.32,6.23,6.23,,
' --require-json --oj-mimic-json,1,1.27,1.28,6.24,,
' --require-json-after-mimic --oj-mimic-json,1,1.27,1.24,1.25,,
' --use-rails,1,25.78,5.68,63.14,63.28,8.23
' --use-rails --oj-mimic-json,1,24.67,1.22,27.45,27.42,7.6
' --use-rails --oj-optimize-rails,1,26.23,5.84,26.28,26.4,8.3
' --use-rails --oj-optimize-rails --oj-mimic-json,1,26.66,1.19,26.69,26.46,8.31
' --use-rails --oj-manual-set-encoder,1,25.65,5.75,9.04,9,8.08
' --use-rails --oj-manual-set-encoder --oj-optimize-rails,1,28.16,6.22,9.88,9.89,8.54
' --use-rails --oj-manual-set-encoder --oj-optimize-rails --oj-mimic-json,1,26.99,1.23,9.7,9.87,8.18
